chunk_id,filename,source_doc,chunk_index,chars
GC028::c047,GC028_c047.md,GC028,47,399
GC028::c048,GC028_c048.md,GC028,48,177
GC028::c049,GC028_c049.md,GC028,49,370
GC028::c050,GC028_c050.md,GC028,50,368
GC028::c051,GC028_c051.md,GC028,51,359
GC028::c052,GC028_c052.md,GC028,52,293
GC028::c053,GC028_c053.md,GC028,53,357
GC028::c054,GC028_c054.md,GC028,54,370
GC028::c055,GC028_c055.md,GC028,55,396
GC028::c056,GC028_c056.md,GC028,56,220
GC028::c057,GC028_c057.md,GC028,57,350
GC028::c058,GC028_c058.md,GC028,58,387
